PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$
JuJu Smith-Schuster,WR,NE,NYG,-184,34.00,-3.50,18.75,3000,5.45,1.8,0.0,0.2,3.6,3.8,1.3
Tyjae Spears,RB,TEN,CAR,-187,36.50,-3.50,20.00,4400,7.79,1.8,0.0,5.2,3.4,8.6,2.0
Rashee Rice,WR,KC,LV,-401,43.00,-8.50,25.75,5500,9.95,1.8,0.0,0.0,5.1,5.1,0.9
Dalton Kincaid,TE,BUF,PHI,141,48.50,3.50,22.50,5300,9.57,1.8,0.0,0.0,5.1,5.1,1.0
Tutu Atwell,WR,LAR,ARI,-120,44.50,-1.50,23.00,4100,7.52,1.8,0.0,0.3,4.5,4.8,1.2
Kareem Hunt,RB,CLE,DEN,104,36.00,1.50,17.25,4800,8.71,1.8,0.0,10.6,1.1,11.7,2.4
Raheem Mostert,RB,MIA,NYJ,-483,41.00,-9.50,25.25,7200,12.95,1.8,0.0,13.1,2.8,15.9,2.2
Jerry Jeudy,WR,DEN,CLE,-124,36.00,-1.50,18.75,4900,8.50,1.7,0.0,0.2,5.4,5.6,1.1
Tank Dell,WR,HOU,JAX,103,47.50,1.50,23.00,6900,11.58,1.7,0.0,0.1,6.1,6.2,0.9
Las Vegas Raiders,D,LV,KC,313,43.00,8.50,17.25,2800,4.63,1.7,0.0,0.0,0.0,0.0,0.0
Tampa Bay Buccaneers,D,TB,IND,113,44.00,2.50,20.75,3300,5.68,1.7,0.0,0.0,0.0,0.0,0.0
Mike Evans,WR,TB,IND,113,44.00,2.50,20.75,7400,12.30,1.7,0.0,0.1,6.9,7.0,0.9
Alec Pierce,WR,IND,TB,-134,44.00,-2.50,23.25,3200,5.38,1.7,0.0,0.0,3.0,3.0,1.0
Nico Collins,WR,HOU,JAX,103,47.50,1.50,23.00,6400,10.77,1.7,0.0,0.0,6.1,6.1,1.0
Chuba Hubbard,RB,CAR,TEN,155,36.50,3.50,16.50,4800,8.27,1.7,0.0,11.2,1.6,12.8,2.7
New Orleans Saints,D,NO,ATL,-107,42.00,1.00,20.50,3600,6.04,1.7,0.0,0.0,0.0,0.0,0.0
Adam Thielen,WR,CAR,TEN,155,36.50,3.50,16.50,7300,12.70,1.7,0.0,0.0,8.3,8.3,1.1
Dalton Schultz,TE,HOU,JAX,103,47.50,1.50,23.00,5400,9.28,1.7,0.0,0.0,5.2,5.2,1.0
Tyler Higbee,TE,LAR,ARI,-120,44.50,-1.50,23.00,3500,5.50,1.6,0.0,0.0,3.3,3.3,0.9
Mike Gesicki,TE,NE,NYG,-184,34.00,-3.50,18.75,2500,4.07,1.6,0.0,0.0,2.6,2.6,1.0
Los Angeles Chargers,D,LAC,BAL,151,48.00,3.50,22.25,3100,5.06,1.6,0.0,0.0,0.0,0.0,0.0
River Cracraft,WR,MIA,NYJ,-483,41.00,-9.50,25.25,3000,4.64,1.6,0.0,0.0,2.7,2.7,0.9
Gus Edwards,RB,BAL,LAC,-182,48.00,-3.50,25.75,6000,9.73,1.6,0.0,12.3,0.7,13.0,2.2
Latavius Murray,RB,BUF,PHI,141,48.50,3.50,22.50,4400,6.46,1.5,0.0,6.4,1.9,8.3,1.9
Jakobi Meyers,WR,LV,KC,313,43.00,8.50,17.25,5800,8.88,1.5,0.0,0.1,5.4,5.5,0.9
Juwan Johnson,TE,NO,ATL,-107,42.00,1.00,20.50,3000,4.41,1.5,0.0,0.0,2.6,2.6,0.9
Noah Gray,TE,KC,LV,-401,43.00,-8.50,25.75,2500,3.78,1.5,0.0,0.0,2.0,2.0,0.8
Darius Slayton,WR,NYG,NE,153,34.00,3.50,15.25,3500,5.34,1.5,0.0,0.1,3.4,3.5,1.0
Tommy DeVito,QB,NYG,NE,153,34.00,3.50,15.25,5200,7.35,1.4,25.5,4.2,0.0,4.2,5.7
Marquez Valdes-Scantling,WR,KC,LV,-401,43.00,-8.50,25.75,3200,4.34,1.4,0.0,0.0,2.3,2.3,0.7
Jalin Hyatt,WR,NYG,NE,153,34.00,3.50,15.25,3000,4.18,1.4,0.0,0.0,2.7,2.7,0.9
Treylon Burks,WR,TEN,CAR,-187,36.50,-3.50,20.00,3400,4.58,1.4,0.0,0.0,2.8,2.8,0.8
Justice Hill,RB,BAL,LAC,-182,48.00,-3.50,25.75,4000,5.62,1.4,0.0,3.5,2.2,5.7,1.4
Ty Chandler,RB,MIN,CHI,-163,43.00,-3.00,23.00,5000,6.67,1.3,0.0,7.1,1.2,8.3,1.7
Ezekiel Elliott,RB,NE,NYG,-184,34.00,-3.50,18.75,5000,6.26,1.3,0.0,7.3,1.3,8.6,1.7
Drew Sample,TE,CIN,PIT,104,35.50,1.50,17.00,2500,3.17,1.3,0.0,0.0,1.8,1.8,0.7
Hayden Hurst,TE,CAR,TEN,155,36.50,3.50,16.50,2700,3.60,1.3,0.0,0.0,2.5,2.5,0.9
Jerick McKinnon,RB,KC,LV,-401,43.00,-8.50,25.75,4700,6.06,1.3,0.0,1.5,2.8,4.3,0.9
Samaje Perine,RB,DEN,CLE,-124,36.00,-1.50,18.75,4600,5.86,1.3,0.0,2.2,3.4,5.6,1.2
Laviska Shenault,WR,CAR,TEN,155,36.50,3.50,16.50,3000,3.94,1.3,0.0,0.7,2.3,3.0,1.0
Irv Smith,TE,CIN,PIT,104,35.50,1.50,17.00,2600,3.33,1.3,0.0,0.0,2.1,2.1,0.8
Durham Smythe,TE,MIA,NYJ,-483,41.00,-9.50,25.25,2500,3.36,1.3,0.0,0.0,1.8,1.8,0.7
Adam Trautman,TE,DEN,CLE,-124,36.00,-1.50,18.75,2600,3.42,1.3,0.0,0.0,2.2,2.2,0.8
Mack Hollins,WR,ATL,NO,-111,42.00,-1.00,21.50,3300,3.97,1.2,0.0,0.0,2.4,2.4,0.7
De'Von Achane,RB,MIA,NYJ,-483,41.00,-9.50,25.25,6700,8.28,1.2,0.0,7.9,2.2,10.1,1.5
Drew Ogletree,TE,IND,TB,-134,44.00,-2.50,23.25,2500,3.11,1.2,0.0,0.0,1.8,1.8,0.7
Kenneth Gainwell,RB,PHI,BUF,-169,48.50,-3.50,26.00,4900,6.06,1.2,0.0,4.4,2.0,6.4,1.3
Hunter Renfrow,WR,LV,KC,313,43.00,8.50,17.25,3100,3.64,1.2,0.0,0.1,2.4,2.5,0.8
Tyler Scott,WR,CHI,MIN,136,43.00,3.00,20.00,3000,3.55,1.2,0.0,0.1,2.2,2.3,0.8
Donald Parham,TE,LAC,BAL,151,48.00,3.50,22.25,3300,3.68,1.1,0.0,0.0,1.9,1.9,0.6
Miles Sanders,RB,CAR,TEN,155,36.50,3.50,16.50,4400,4.92,1.1,0.0,4.1,2.2,6.3,1.4
Roschon Johnson,RB,CHI,MIN,136,43.00,3.00,20.00,4700,5.16,1.1,0.0,3.1,2.2,5.3,1.1
Nick Westbrook-Ikhine,WR,TEN,CAR,-187,36.50,-3.50,20.00,3000,3.26,1.1,0.0,0.0,2.1,2.1,0.7
Robert Tonyan,TE,CHI,MIN,136,43.00,3.00,20.00,2500,2.69,1.1,0.0,0.0,1.7,1.7,0.7
D'Onta Foreman,RB,CHI,MIN,136,43.00,3.00,20.00,5300,5.70,1.1,0.0,8.4,0.4,8.8,1.7
