Player,Team,Pos,Injury,Status,Est. Return
Derwin James,LAC,S,Hamstring,Questionable,Subscribers Only
Ja'Wuan James,FA,OT,Achilles,Questionable,Subscribers Only
Richie James,KC,WR,Knee - MCL,IR,Subscribers Only
Jermar Jefferson,FA,RB,Undisclosed,Questionable,Subscribers Only
Jalen Jelks,FA,DE,Undisclosed,Questionable,Subscribers Only
Elgton Jenkins,GB,OG,Knee - MCL,Out,Subscribers Only
Jaray Jenkins,FA,WR,Undisclosed,Questionable,Subscribers Only
Jordan Jenkins,FA,DE,Knee - ACL,Questionable,Subscribers Only
Teven Jenkins,CHI,OG,Leg,IR,Subscribers Only
Jauan Jennings,SF,WR,Shin,Questionable,Subscribers Only
Ryan Jensen,TB,C,Knee,IR,Subscribers Only
Jerry Jeudy,DEN,WR,Knee,Questionable,Subscribers Only
Josey Jewell,DEN,LB,Hip,Questionable,Subscribers Only
Antonio Johnson,JAX,S,Hamstring,Questionable,Subscribers Only
Bisi Johnson,FA,WR,Knee - ACL,Questionable,Subscribers Only
Buddy Johnson,CHI,LB,Undisclosed,IR,Subscribers Only
Darryl Johnson,FA,LB,Undisclosed,Questionable,Subscribers Only
Diontae Johnson,PIT,WR,Hamstring,IR,Subscribers Only
Dontae Johnson,FA,CB,Knee - ACL,Questionable,Subscribers Only
Jahmir Johnson,FA,OT,Undisclosed,Questionable,Subscribers Only
Jaylon Johnson,CHI,CB,Hamstring,Questionable,Subscribers Only
Josh Johnson,FA,RB,Undisclosed,Questionable,Subscribers Only
Nazeeh Johnson,KC,S,Knee - ACL,IR,Subscribers Only
Roderick Johnson,PHI,OT,Undisclosed,IR,Subscribers Only
Willie Johnson,FA,WR,Undisclosed,Questionable,Subscribers Only
Cameron Johnston,HOU,P,Calf,IR,Subscribers Only
Shaun Jolly,FA,CB,Undisclosed,Questionable,Subscribers Only
Aaron Jones,GB,RB,Hamstring,Questionable,Subscribers Only
Ben Jones,FA,C,Undisclosed,Questionable,Subscribers Only
Braxton Jones,CHI,OT,Neck,IR,Subscribers Only
Brett Jones,FA,C,Biceps,Questionable,Subscribers Only
Byron Jones,FA,CB,Achilles,Questionable,Subscribers Only
Chandler Jones,LV,DE,Personal,NFI-R,Subscribers Only
Charlie Jones,CIN,WR,Thumb,Questionable,Subscribers Only
Chris Jones,FA,P,Abdomen,Questionable,Subscribers Only
Chris Jones,KC,DT,Groin,Questionable,Subscribers Only
Devin Jones,FA,CB,Undisclosed,Questionable,Subscribers Only
Dre'Mont Jones,SEA,DE,Hip,Questionable,Subscribers Only
Jack Jones,NE,CB,Hamstring,IR,Subscribers Only
Jonathan Jones,NE,CB,Ankle,Questionable,Subscribers Only
Josh Jones,FA,S,Hamstring,Questionable,Subscribers Only
Josh Jones,HOU,OG,Hand,Questionable,Subscribers Only
Marcus Jones,NE,CB,Shoulder,IR,Subscribers Only
Robert Jones,MIA,OG,Knee - MCL,IR,Subscribers Only
Vi Jones,FA,LB,Ankle,Questionable,Subscribers Only
Xavier Jones,FA,RB,Achilles,Questionable,Subscribers Only
Zay Jones,JAX,WR,Knee,Questionable,Subscribers Only
Dion Jordan,FA,DE,Knee,Questionable,Subscribers Only
Karl Joseph,FA,S,Ankle,Questionable,Subscribers Only
Kerby Joseph,DET,S,Hip,Questionable,Subscribers Only
Lamarcus Joyner,FA,S,Hip,Questionable,Subscribers Only
Gregory Junior,JAX,CB,Hamstring,IR,Subscribers Only
Cam Jurgens,PHI,OG,Groin,Questionable,Subscribers Only
Calijah Kancey,TB,DT,Calf,Questionable,Subscribers Only
Khalid Kareem,CHI,DE,Hip,IR,Subscribers Only
Matt Kaskey,FA,OT,Undisclosed,Questionable,Subscribers Only
Ryan Kelly,IND,C,Concussion,Questionable,Subscribers Only
Silas Kelly,FA,LB,Undisclosed,Questionable,Subscribers Only
Eric Kendricks,LAC,LB,Hamstring,Questionable,Subscribers Only
Tom Kennedy,FA,WR,Arm,Questionable,Subscribers Only
BoPete Keyes,FA,CB,Finger,Questionable,Subscribers Only
Brandon King,FA,LB,Hamstring,Questionable,Subscribers Only
Dre Kirkpatrick,FA,CB,Ankle,Questionable,Subscribers Only
Micah Kiser,FA,LB,Leg,Questionable,Subscribers Only
