Player,Team,Pos,Injury,Status
Cole Mazza,FA,C,Shoulder,Questionable
Christian McCaffrey,CAR,RB,Ankle,IR
Tucker McCann,FA,K,Undisclosed,Questionable
AJ McCarron,ATL,QB,Knee - ACL,IR
Rolando McClain,FA,LB,Suspension,Reserve-Sus
Jason McCourty,MIA,S,Foot,IR
Gerald McCoy,LV,DT,Knee,IR
Erik McCoy,NO,C,Illness,Questionable
Nate McCrary,FA,RB,Undisclosed,Out
Lerentee McCray,JAX,LB,Illness,Reserve-Covid-19
Anthony McFarland,PIT,RB,Undisclosed,Reserve-Covid-19
Mike McGlinchey,SF,OT,Quadriceps,IR
Connor McGovern,NYJ,C,Knee - MCL,IR
Cameron McGrone,NE,LB,Knee - ACL,NFI-R
RJ McIntosh,FA,DT,Illness,Out
Takkarist McKinley,CLE,DE,Achilles,IR
Anthony McKinney,FA,OT,Undisclosed,Questionable
J.D. McKissic,WAS,RB,Concussion,IR
Sherrick McManis,FA,S,Hamstring,Questionable
Raekwon McMillan,NE,LB,Knee - ACL,IR
Tony McRae,FA,CB,Knee,Questionable
Torry McTyer,WAS,CB,Knee - ACL,IR
Montrel Meander,CLE,LB,Achilles,IR
Obi Melifonwu,FA,S,Undisclosed,Questionable
Whitney Mercilus,GB,LB,Biceps,IR
Jakobi Meyers,NE,WR,Thigh,Questionable
Jaydon Mickens,JAX,WR,Undisclosed,Reserve-Covid-19
Doug Middleton,FA,S,Undisclosed,Out
Anthony Miller,FA,WR,Illness,Out
Elijah Mitchell,SF,RB,Knee,Questionable
Taquan Mizzell,FA,WR,Undisclosed,Questionable
JJ Molson,FA,K,Undisclosed,Out
Donte Moncrief,FA,WR,Undisclosed,Questionable
Steven Montez,FA,QB,Illness,Out
Ty Montgomery,NO,WR,Back,Questionable
Chris Moore,HOU,WR,Illness,Reserve-Covid-19
A.J. Moore,HOU,S,Illness,Questionable
J'Mon Moore,FA,WR,Undisclosed,Questionable
Skai Moore,IND,LB,Undisclosed,IR
Jalin Moore,FA,RB,Ankle,Reserve-Ret
Briley Moore,TEN,TE,Knee - ACL,IR
Tarvarius Moore,SF,S,Achilles,PUP-R
Rondale Moore,ARI,WR,Ankle,Questionable
Elijah Moore,NYJ,WR,Quadriceps,Reserve-Covid-19
Fabian Moreau,ATL,CB,Ribs,Doubtful
Jimmy Moreland,HOU,CB,Illness,Questionable
James Morgan,FA,QB,Undisclosed,Out
Nicholas Morrow,LV,LB,Ankle,IR
Emmanuel Moseley,SF,CB,Ankle,IR
Dylan Moses,JAX,LB,Undisclosed,Reserve-Covid-19
Thaddeus Moss,FA,TE,Hamstring,Doubtful
Raheem Mostert,SF,RB,Knee - Meniscus,IR
Trayvon Mullen,LV,CB,Toe,IR
Nick Mullens,FA,QB,Undisclosed,Out
Johnny Mundt,LAR,TE,Knee - ACL,IR
Larrell Murchison,TEN,DE,Knee,Out
Kyle Murphy,NYG,OG,Ankle,IR
Kenneth Murray,LAC,LB,Undisclosed,Reserve-Covid-19
Justin Murray,ARI,OT,Back,IR
Chris Myarick,NYG,TE,Hip,Questionable
Josh Myers,GB,C,Knee,IR
Carl Nassib,LV,DE,Undisclosed,Reserve-Covid-19
Isaac Nauta,FA,TE,Undisclosed,Questionable
Keanu Neal,DAL,LB,Illness,Reserve-Covid-19
Sharrod Neasman,NYJ,S,Illness,Reserve-Covid-19
J.J. Nelson,FA,WR,Groin,Questionable
Nick Nelson,IND,CB,Undisclosed,IR
Hardy Nickerson,HOU,LB,Concussion,IR
Hunter Niswander,DAL,K,Illness,Reserve-Covid-19
Daviyon Nixon,CAR,DT,Illness,Reserve-Covid-19
Jared Norris,WAS,LB,Shoulder,IR
Patrick O'Connor,TB,DE,Knee - PCL,IR
Nick O'Leary,FA,TE,Chest,Questionable
James O'Shaughnessy,JAX,TE,Hip,Out
Chidi Okeke,FA,OT,Undisclosed,Questionable
